Filing Quarter,Felony,Misdemeanor,Total,
2017 Q1,"1,369","3,107","4,476",
2017 Q2,"1,398","3,426","4,824",
2017 Q3,"1,335","2,686","4,021",
2017 Q4,"1,267","3,668","4,935",
2018 Q1,"1,362","4,014","5,376",
2018 Q2,"1,235","3,085","4,320",
2018 Q3,"1,176","3,161","4,337",
2018 Q4,"1,239","2,531","3,770",
2019 Q1,"1,246","3,376","4,622",
2019 Q2,"1,324","2,970","4,294",
2019 Q3,"1,487","3,251","4,738",
2019 Q4,"1,324","2,798","4,122",
2020 Q1,"1,319","3,455","4,774",
2020 Q2,"1,175","2,999","4,174",
2020 Q3,"1,323","2,002","3,325",
2020 Q4,"1,368","2,244","3,612",
2021 Q1,"1,393","2,592","3,985",
2021 Q2,"1,212","2,121","3,333",
2021 Q3,"1,211","2,463","3,674",
2021 Q4,"1,164","2,259","3,423",
2022 Q1,"1,228","2,472","3,700",
2022 Q2,"1,173","2,458","3,631",
2022 Q3,"1,187","2,590","3,777",
2022 Q4,978,"2,280","3,258",
2023 Q1,921,"1,920","2,841",
2023 Q2,902,"2,080","2,982",
2023 Q3,920,"2,117","3,037",
2023 Q4,917,"1,983","2,900",
2024 Q1,"1,047","2,214","3,261",
2024 Q2,"1,020","2,083","3,103",
2024 Q3,"1,141","2,523","3,664",
