Referral Quarter,Felony,Misdemeanor,Total,
2017 Q1,"1,577","3,945","5,522",
2017 Q2,"1,784","4,533","6,317",
2017 Q3,"1,763","5,005","6,768",
2017 Q4,"1,682","5,051","6,733",
2018 Q1,"1,740","5,552","7,292",
2018 Q2,"1,777","5,358","7,135",
2018 Q3,"1,653","5,134","6,787",
2018 Q4,"1,728","4,848","6,576",
2019 Q1,"1,544","5,489","7,033",
2019 Q2,"1,655","5,394","7,049",
2019 Q3,"1,905","5,914","7,819",
2019 Q4,"1,663","5,093","6,756",
2020 Q1,"1,603","5,147","6,750",
2020 Q2,"1,328","2,418","3,746",
2020 Q3,"1,653","2,900","4,553",
2020 Q4,"1,605","2,901","4,506",
2021 Q1,"1,478","3,205","4,683",
2021 Q2,"1,390","3,183","4,573",
2021 Q3,"1,450","3,658","5,108",
2021 Q4,"1,367","3,281","4,648",
2022 Q1,"1,413","3,596","5,009",
2022 Q2,"1,621","3,937","5,558",
2022 Q3,"1,585","3,748","5,333",
2022 Q4,"1,477","3,570","5,047",
2023 Q1,"1,353","3,436","4,789",
2023 Q2,"1,535","3,434","4,969",
2023 Q3,"1,547","3,588","5,135",
2023 Q4,"1,522","3,451","4,973",
2024 Q1,"1,619","3,401","5,020",
2024 Q2,"1,466","3,244","4,710",
2024 Q3,"1,561","3,372","4,933",
