Filing Quarter,Felonies filed per prosecutor,Misdemeanors filed per prosecutor
2017 Q1,24.8302,66.1458
2017 Q2,26.6458,64.8545
2017 Q3,25.4375,62.1591
2017 Q4,23.4200,73.3462
2018 Q1,25.7755,78.9057
2018 Q2,24.1915,63.6800
2018 Q3,23.1000,71.0870
2018 Q4,25.3750,63.3415
2019 Q1,23.5283,77.7111
2019 Q2,23.3729,67.5111
2019 Q3,27.4231,75.0227
2019 Q4,28.3750,62.1818
2020 Q1,21.8113,64.9038
2020 Q2,17.0000,52.4286
2020 Q3,21.4909,43.2222
2020 Q4,24.0000,48.6444
2021 Q1,27.0213,52.3125
2021 Q2,23.5319,40.9412
2021 Q3,23.9362,48.8600
2021 Q4,24.8409,51.8140
2022 Q1,25.6222,53.9111
2022 Q2,27.4500,50.7872
2022 Q3,27.3953,60.0952
2022 Q4,22.5238,58.0263
2023 Q1,23.6216,47.7179
2023 Q2,23.3684,58.0286
2023 Q3,27.5938,56.2973
2023 Q4,24.0811,53.7222
2024 Q1,26.0769,58.8919
2024 Q2,24.2195,50.1220
2024 Q3,28.5000,67.4324
